simulation_id,state_1(t),state_2(t),state_1(t+dt),state_2(t+dt)
1,0.04776423620998678,0.4686758159082189,0.05193154005927397,0.4645085120589317
1,0.05193154005927397,0.4645085120589317,0.056016325763611416,0.4604237263545942
1,0.056016325763611416,0.4604237263545942,0.06002022729174539,0.45641982482646026
1,0.06002022729174539,0.45641982482646026,0.06394484625767319,0.4524952058605325
1,0.06394484625767319,0.4524952058605325,0.06779175256131015,0.44864829955689556
1,0.06779175256131015,0.44864829955689556,0.0715624850164705,0.4448775671017352
1,0.0715624850164705,0.4448775671017352,0.0752585519664134,0.44118150015179236
1,0.0752585519664134,0.44118150015179236,0.07888143188720037,0.43755862023100545
1,0.07888143188720037,0.43755862023100545,0.08243257397910544,0.43400747813910034
1,0.08243257397910544,0.43400747813910034,0.08591339874631457,0.4305266533718912
1,0.08591339874631457,0.4305266533718912,0.08932529856514626,0.42711475355305956
1,0.08932529856514626,0.42711475355305956,0.09266963824102065,0.4237704138771852
1,0.09266963824102065,0.4237704138771852,0.09594775555439986,0.420492296563806
1,0.09594775555439986,0.420492296563806,0.09916096179591806,0.41727909032228777
2,0.12405303304227866,0.8522049040373609,0.13126221958221415,0.8449957174974254
2,0.13126221958221415,0.8449957174974254,0.13832865466427985,0.8379292824153597
2,0.13832865466427985,0.8379292824153597,0.14525516495672894,0.8310027721229106
2,0.14525516495672894,0.8310027721229106,0.15204452115603312,0.8242134159236064
2,0.15204452115603312,0.8242134159236064,0.1586994390951981,0.8175584979844415
2,0.1586994390951981,0.8175584979844415,0.16522258083013291,0.8110353562495066
2,0.16522258083013291,0.8110353562495066,0.17161655570450798,0.8046413813751316
2,0.17161655570450798,0.8046413813751316,0.17788392139352716,0.7983740156861125
2,0.17788392139352716,0.7983740156861125,0.184027184927032,0.7922307521526077
2,0.184027184927032,0.7922307521526077,0.19004880369234722,0.7862091333872925
2,0.19004880369234722,0.7862091333872925,0.19595118641726825,0.7803067506623714
2,0.19595118641726825,0.7803067506623714,0.20173669413358458,0.7745212429460552
2,0.20173669413358458,0.7745212429460552,0.20740764112152385,0.7688502959581159
2,0.20740764112152385,0.7688502959581159,0.21296629583549487,0.763291641244145
2,0.21296629583549487,0.763291641244145,0.21841488181149957,0.7578430552681402
2,0.21841488181149957,0.7578430552681402,0.22375557855657718,0.7525023585230627
2,0.22375557855657718,0.7525023585230627,0.22899052242063597,0.7472674146590039
2,0.22899052242063597,0.7472674146590039,0.23412180745102174,0.7421361296286182
2,0.23412180745102174,0.7421361296286182,0.23915148623016466,0.7371064508494753
2,0.23915148623016466,0.7371064508494753,0.24408157069663972,0.7321763663830003
2,0.24408157069663972,0.7321763663830003,0.2489140329499688,0.7273439041296712
2,0.2489140329499688,0.7273439041296712,0.2536508060394869,0.7226071310401531
2,0.2536508060394869,0.7226071310401531,0.25829378473758774,0.7179641523420522
2,0.25829378473758774,0.7179641523420522,0.2628448262976577,0.7134131107819823
2,0.2628448262976577,0.7134131107819823,0.2673057511970022,0.7089521858826379
2,0.2673057511970022,0.7089521858826379,0.2716783438650607,0.7045795932145794
2,0.2716783438650607,0.7045795932145794,0.2759643533972025,0.7002935836824377
2,0.2759643533972025,0.7002935836824377,0.28016549425438797,0.6960924428252522
2,0.28016549425438797,0.6960924428252522,0.284283446948976,0.6919744901306641
2,0.284283446948976,0.6919744901306641,0.2883198587169512,0.6879380783626889
2,0.2883198587169512,0.6879380783626889,0.29227634417684023,0.6839815929027999
2,0.29227634417684023,0.6839815929027999,0.2961544859755809,0.6801034511040592
2,0.2961544859755809,0.6801034511040592,0.29995583542160204,0.6763021016580382
2,0.29995583542160204,0.6763021016580382,0.3036819131053673,0.672576023974273
2,0.3036819131053673,0.672576023974273,0.3073342095076319,0.6689237275720084
2,0.3073342095076319,0.6689237275720084,0.31091418559565476,0.6653437514839855
2,0.31091418559565476,0.6653437514839855,0.3144232734076046,0.6618346636720356
2,0.3144232734076046,0.6618346636720356,0.3178628766253948,0.6583950604542455
2,0.3178628766253948,0.6583950604542455,0.32123437113617437,0.6550235659434659
2,0.32123437113617437,0.6550235659434659,0.3245391055827015,0.6517188314969388
2,0.3245391055827015,0.6517188314969388,0.32777840190281854,0.6484795351768218
2,0.32777840190281854,0.6484795351768218,0.3309535558582447,0.6453043812213957
2,0.3309535558582447,0.6453043812213957,0.33406583755289815,0.6421920995267423
2,0.33406583755289815,0.6421920995267423,0.33711649194095433,0.6391414451386861
2,0.33711649194095433,0.6391414451386861,0.3401067393248445,0.636151197754796
2,0.3401067393248445,0.636151197754796,0.34303777584339257,0.6332201612362479
2,0.34303777584339257,0.6332201612362479,0.3459107739502871,0.6303471631293535
2,0.3459107739502871,0.6303471631293535,0.3487268828830779,0.6275310541965627
2,0.3487268828830779,0.6275310541965627,0.35148722912288677,0.6247707079567539
3,-0.3204812022180483,0.549778544077834,-0.3118650534458558,0.5411623953056415
3,-0.3118650534458558,0.5411623953056415,-0.3034195158503391,0.5327168577101248
3,-0.3034195158503391,0.5327168577101248,-0.2951412111038513,0.524438552963637
3,-0.2951412111038513,0.524438552963637,-0.2870268277741149,0.5163241696339006
3,-0.2870268277741149,0.5163241696339006,-0.27907311999960493,0.5083704618593906
3,-0.27907311999960493,0.5083704618593906,-0.27127690619116057,0.5005742480509462
3,-0.27127690619116057,0.5005742480509462,-0.2636350677593076,0.49293240961909324
3,-0.2636350677593076,0.49293240961909324,-0.25614454786678076,0.4854418897265664
3,-0.25614454786678076,0.4854418897265664,-0.24880235020574806,0.4780996920655337
3,-0.24880235020574806,0.4780996920655337,-0.24160553779924784,0.47090287965903355
3,-0.24160553779924784,0.47090287965903355,-0.23455123182635876,0.46384857368614446
3,-0.23455123182635876,0.46384857368614446,-0.22763661047063297,0.45693395233041867
3,-0.22763661047063297,0.45693395233041867,-0.22085890779133197,0.45015624965111767
3,-0.22085890779133197,0.45015624965111767,-0.2142154126170135,0.44351275447679916
3,-0.2142154126170135,0.44351275447679916,-0.2077034674610267,0.43700080932081237
3,-0.2077034674610267,0.43700080932081237,-0.2013204674584821,0.43061780931826776
3,-0.2013204674584821,0.43061780931826776,-0.19506385932427084,0.4243612011840565
3,-0.19506385932427084,0.4243612011840565,-0.1889311403317167,0.41822848219150244
3,-0.1889311403317167,0.41822848219150244,-0.182919857311452,0.4122171991712378
3,-0.182919857311452,0.4122171991712378,-0.1770276056701171,0.4063249475299029
3,-0.1770276056701171,0.4063249475299029,-0.17125202842849113,0.40054937028827686
3,-0.17125202842849113,0.40054937028827686,-0.16559081527866865,0.3948881571384544
3,-0.16559081527866865,0.3948881571384544,-0.1600417016599059,0.3893390435196916
3,-0.1600417016599059,0.3893390435196916,-0.15460246785276616,0.3838998097125519
3,-0.15460246785276616,0.3838998097125519,-0.14927093809120257,0.3785682799509883
3,-0.14927093809120257,0.3785682799509883,-0.14404497969222246,0.3733423215520082
3,-0.14404497969222246,0.3733423215520082,-0.13892250220278585,0.3682198440625716
3,-0.13892250220278585,0.3682198440625716,-0.13390145656359637,0.3631987984233821
3,-0.13390145656359637,0.3631987984233821,-0.12897983428945015,0.35827717614923593
3,-0.12897983428945015,0.35827717614923593,-0.12415566666581507,0.35345300852560085
3,-0.12415566666581507,0.35345300852560085,-0.11942702396131856,0.3487243658211044
3,-0.11942702396131856,0.3487243658211044,-0.11479201465582942,0.3440893565156153
3,-0.11479201465582942,0.3440893565156153,-0.11024878468382449,0.3395461265436103
3,-0.11024878468382449,0.3395461265436103,-0.10579551669273776,0.33509285855252363
3,-0.10579551669273776,0.33509285855252363,-0.10143042931599514,0.330727771175781
3,-0.10143042931599514,0.330727771175781,-0.09715177646044393,0.3264491183202298
3,-0.09715177646044393,0.3264491183202298,-0.09295784660789248,0.3222551884676784
3,-0.09295784660789248,0.3222551884676784,-0.08884696213047996,0.31814430399026594
3,-0.08884696213047996,0.31814430399026594,-0.08481747861960287,0.3141148204793889
3,-0.08481747861960287,0.3141148204793889,-0.08086778422812971,0.3101651260879157
3,-0.08086778422812971,0.3101651260879157,-0.07699629902564058,0.30629364088542654
3,-0.07699629902564058,0.30629364088542654,-0.073201474366434,0.30249881622622
3,-0.073201474366434,0.30249881622622,-0.06948179227004794,0.2987791341298339
3,-0.06948179227004794,0.2987791341298339,-0.06583576481404745,0.2951331066738334
3,-0.06583576481404745,0.2951331066738334,-0.06226193353883575,0.2915592753986217
3,-0.06226193353883575,0.2915592753986217,-0.05875886886425106,0.288056210724037
3,-0.05875886886425106,0.288056210724037,-0.055325169517715385,0.2846225113775013
3,-0.055325169517715385,0.2846225113775013,-0.05195946197370684,0.2812568038334927
3,-0.05195946197370684,0.2812568038334927,-0.04866039990433114,0.27795774176411703
4,-0.0284234691877836,-0.05798747597456022,-0.028716172466156736,-0.05769477269618709
4,-0.028716172466156736,-0.05769477269618709,-0.02900307983129062,-0.057407865331053215
4,-0.02900307983129062,-0.057407865331053215,-0.02928430604995679,-0.057126639112387044
4,-0.02928430604995679,-0.057126639112387044,-0.029559963616392446,-0.05685098154595139
4,-0.029559963616392446,-0.05685098154595139,-0.029830162797299643,-0.05658078236504419
4,-0.029830162797299643,-0.05658078236504419,-0.03009501167595345,-0.056315933486390385
4,-0.03009501167595345,-0.056315933486390385,-0.030354616195436696,-0.05605632896690715
4,-0.030354616195436696,-0.05605632896690715,-0.03060908020101861,-0.055801864961325234
4,-0.03060908020101861,-0.055801864961325234,-0.030858505481694325,-0.055552439680649525
4,-0.030858505481694325,-0.055552439680649525,-0.03110299181090183,-0.05530795335144202
4,-0.03110299181090183,-0.05530795335144202,-0.03134263698643266,-0.05506830817591119
4,-0.03134263698643266,-0.05506830817591119,-0.03157753686955234,-0.05483340829279151
4,-0.03157753686955234,-0.05483340829279151,-0.03180778542334617,-0.05460315973899769
4,-0.03180778542334617,-0.05460315973899769,-0.03203347475030568,-0.05437747041203818
4,-0.03203347475030568,-0.05437747041203818,-0.03225469512917088,-0.054156250033172974
4,-0.03225469512917088,-0.054156250033172974,-0.03247153505104298,-0.05393941011130089
4,-0.03247153505104298,-0.05393941011130089,-0.03268408125478194,-0.053726863907561935
4,-0.03268408125478194,-0.053726863907561935,-0.03289241876170326,-0.053518526400640615
4,-0.03289241876170326,-0.053518526400640615,-0.03309663090958758,-0.0533143142527563
4,-0.03309663090958758,-0.0533143142527563,-0.033296799386016915,-0.053114145776326976
4,-0.033296799386016915,-0.053114145776326976,-0.03349300426105078,-0.05291794090129311
